state,total_pop,disability_category,race,gender,employed_count,disability_employed,no_disability_employed,employment_gap,poverty_count,disability_poverty,no_disability_poverty,poverty_gap
NY,577919,All,White,All,227852,39.4,77.6,38.2,235678,18,9.9,8.1
NC,437032,All,White,All,172631,39.5,77.6,38.1,155303,16.8,9.7,7.3
ND,34364,All,White,All,20300,59.1,84.8,25.7,13732,18.5,8.9,10.1
OH,627105,All,White,All,251303,40.1,80,39.9,252526,19.6,10.4,9.6
OK,229758,All,White,All,96432,42,77.3,35.3,93453,20,12.6,7.4
OR,249985,All,White,All,101964,40.8,76.9,36.1,101913,20.5,10.7,9.3
PA,578034,All,White,All,243311,42.1,79.7,37.6,229787,17.9,9.3,8.7
RI,51122,All,White,All,21951,42.9,80.1,37.2,15994,15.3,9.5,5.5
SC,218415,All,White,All,79727,36.5,76.6,40.1,76900,16.4,10.5,5.5
SD,39786,All,White,All,22772,57.2,87.4,30.2,16163,18.2,8.1,9.9
TN,397369,All,White,All,142887,36,77.8,41.8,162429,20.5,10.9,10.1
TX,745091,All,White,All,350545,47,78.1,31.1,232706,14.5,8.4,5.6
UT,151192,All,White,All,78808,52.1,80.8,28.7,44018,16,7,9
VT,39645,All,White,All,14638,36.9,79.8,42.9,19603,24.5,10.8,14.2
VA,310264,All,White,All,139117,44.8,79.7,34.9,104224,15.7,8.1,7.9
WA,355403,All,White,All,145649,41,77.9,36.9,124978,17.2,7.8,9.2
WV,153157,All,White,All,45291,29.6,71.4,41.8,74542,24.8,15.4,9.6
WI,275833,All,White,All,132310,48,83.3,35.3,106079,18.9,8.6,10.4
WY,29288,All,White,All,15393,52.6,81.4,28.8,10694,16.8,10.5,6.5
AL,130605,All,Black,All,33919,26,71.3,45.3,65946,30.6,25.2,5.8
AK,3365,All,Black,All,923,27.4,74.8,47.4,1986,37.4,22.7,14.3
AZ,26591,All,Black,All,11639,43.8,77.9,34.1,8642,22,18.4,3.6
AR,45422,All,Black,All,13668,30.1,73.5,43.4,25584,32.9,27.6,5.4
CA,182482,All,Black,All,58072,31.8,69.1,37.3,93773,29,19.1,9.9
CO,16876,All,Black,All,8172,48.4,79.2,30.8,7067,27.2,18.5,8.5
CT,25359,All,Black,All,9768,38.5,79.3,40.8,11566,28.3,15,13
DE,13378,All,Black,All,4737,35.4,77,41.6,4179,17.3,19.5,-2.5
DC,29770,All,Black,All,9752,32.8,65.4,32.6,16314,32,29.3,2.7
FL,201786,All,Black,All,72093,35.7,74.3,38.6,109335,29.3,19.9,9.1
GA,257130,All,Black,All,92856,36.1,74.8,38.7,120029,27.6,20.3,7.7
HI,2282,All,Black,All,753,33,59.9,26.9,1618,37.9,25.8,12.2
ID,515,All,Black,All,131,25.4,83.3,57.9,373,37.7,35.4,2.6
IL,140809,All,Black,All,45603,32.4,66.5,34.1,80337,32.3,24.3,7.7
IN,48114,All,Black,All,14614,30.4,74.8,44.4,25798,30.7,20.4,10.6
IA,6407,All,Black,All,2281,35.6,69.1,33.5,4463,46.3,32,14
KS,15573,All,Black,All,4681,30.1,73.5,43.4,11174,46,26.2,19.8
KY,25751,All,Black,All,7963,30.9,73.9,43,14975,31.9,25.3,6.7
LA,133760,All,Black,All,41329,30.9,65.1,34.2,84316,37.2,32.4,4.6
ME,1957,All,Black,All,1182,60.4,78.1,17.7,802,25.3,37.9,-12.9
MD,126895,All,Black,All,49975,39.4,77.5,38.1,57153,25.6,14,12
MA,29636,All,Black,All,12939,43.7,77,33.3,14579,27.8,15.9,12.1
MI,133094,All,Black,All,37301,28,67,39,72809,32.8,25.9,7.1
MN,30996,All,Black,All,14007,45.2,77.9,32.7,16867,33.8,15.4,18.6
MS,109788,All,Black,All,33082,30.1,67.5,37.4,69202,38.6,31.1,7.9
MO,57160,All,Black,All,20032,35,73.9,38.9,31538,32.4,22.8,9.2
MT,172,All,Black,All,26,15.1,85.2,70.1,102,14.5,18.9,-3.9
NE,6036,All,Black,All,1364,22.6,73.4,50.8,3161,33.6,22.9,11.1
NV,19276,All,Black,All,5968,31,66.6,35.6,10863,32.5,25.4,7.6
NJ,80224,All,Black,All,23238,29,73.4,44.4,36558,26,15.7,10.3
NM,3516,All,Black,All,309,8.8,64,55.2,1594,33.3,26.5,6.5
NY,190642,All,Black,All,58967,30.9,68.2,37.3,111108,31.5,19.9,11.1
NC,174428,All,Black,All,60275,34.6,74.1,39.5,83171,27.4,21.8,5.2
ND,2066,All,Black,All,1401,67.8,86.6,18.8,242,10,14.3,-4.3
OH,119716,All,Black,All,43853,36.6,72.3,35.7,72115,35.4,27.6,7.4
OK,25734,All,Black,All,8687,33.8,73.8,40,12573,28.5,28.7,0.3
OR,7158,All,Black,All,2595,36.3,70.4,34.1,2618,21.9,20.9,1.1
PA,125898,All,Black,All,36607,29.1,70.7,41.6,77692,36.5,23.3,13.7
RI,5710,All,Black,All,2884,50.5,72.8,22.3,3074,37.2,26,11
SC,111704,All,Black,All,34190,30.6,73,42.4,62957,32.4,24.5,7.5
SD,1925,All,Black,All,814,42.3,79.9,37.6,752,28.9,10.2,18.8
TN,81230,All,Black,All,24266,29.9,74.5,44.6,46554,33,21.7,11.3
TX,270702,All,Black,All,109447,40.4,74.1,33.7,125388,27.2,19.4,7.6
UT,2025,All,Black,All,1040,51.4,75.8,24.4,1001,29.8,21.2,8.8
VT,397,All,Black,All,316,79.6,74.1,-5.5,13,2,27.6,-25.6
VA,119182,All,Black,All,44355,37.2,77.2,40,58268,27.6,17.3,10.7
WA,22316,All,Black,All,7930,35.5,70.8,35.3,8821,24.2,20.5,3.5
WV,5399,All,Black,All,1515,28.1,68.1,40,4356,47.6,30.9,17.1
WI,34236,All,Black,All,10377,30.3,70.9,40.6,19066,40.3,27.3,12.7
AL,1610,All,Asian,All,865,53.7,76.8,23.1,937,23.7,11.2,12.8
AK,1532,All,Asian,All,1092,71.3,72.2,0.9,746,28.5,4.8,23.2
AZ,8290,All,Asian,All,4069,49.1,77.9,28.8,3353,17.9,11.3,6.7
AR,1958,All,Asian,All,730,37.3,76.9,39.6,285,10.8,10.2,0.8
CA,191307,All,Asian,All,77358,40.4,73.6,33.2,88553,17.4,10.1,6.9
CO,8930,All,Asian,All,5527,61.9,78.5,16.6,1585,10.4,9.5,0.5
CT,5652,All,Asian,All,3099,54.8,74.5,19.7,1564,13.5,10.8,2.2
DE,910,All,Asian,All,650,71.4,75.4,4,161,8.7,7.6,1.4
DC,759,All,Asian,All,433,57,81,24,924,60,20.2,39.8
FL,23167,All,Asian,All,10364,44.7,74.9,30.2,8375,16.3,9.9,6.1
GA,12119,All,Asian,All,5911,48.8,75,26.2,4794,17.7,11.3,6.7
HI,17697,All,Asian,All,8268,46.7,78.6,31.9,7476,11.4,7.4,3.6
ID,1452,All,Asian,All,442,30.4,79.3,48.9,1252,58.1,12.5,45.5
IL,22092,All,Asian,All,9901,44.8,77.2,32.4,10662,19.9,10.9,9.1
IN,5751,All,Asian,All,3808,66.2,70.8,4.6,2073,21.6,21,1
IA,2439,All,Asian,All,1214,49.8,73.5,23.7,614,15.4,16.1,-1.1
KS,3263,All,Asian,All,1891,58,79.5,21.5,1247,25.5,10.3,14.7
KY,1600,All,Asian,All,822,51.4,73.2,21.8,640,16.6,10.4,6.6
LA,3460,All,Asian,All,1107,32,68.2,36.2,1292,18.7,18.4,0.6
ME,1906,All,Asian,All,877,46,70.8,24.8,1035,37.7,30.1,7.9
MD,11705,All,Asian,All,5676,48.5,76,27.5,4248,15.2,9.2,5.8
MA,13767,All,Asian,All,6593,47.9,76,28.1,7424,25.3,13.7,11.3
MI,9393,All,Asian,All,3948,42,74.4,32.4,2221,11.6,10.9,1.1
MN,13342,All,Asian,All,6323,47.4,81.4,34,5594,21.3,13,8
MS,473,All,Asian,All,424,89.6,71.6,-18,85,6.6,13.7,-6.7
MO,3946,All,Asian,All,2319,58.8,74.7,15.9,1644,19.6,13.1,6.9
NE,1674,All,Asian,All,455,27.2,79.5,52.3,306,10.8,13,-2
NV,12265,All,Asian,All,7042,57.4,73.3,15.9,4392,16.2,11.7,4.3
NH,1363,All,Asian,All,817,59.9,74.6,14.7,330,15.4,10.7,4.3
NJ,20162,All,Asian,All,9578,47.5,75.7,28.2,5491,10.8,6.1,4.9
NM,1997,All,Asian,All,958,48,73.9,25.9,520,17.9,9.4,8.6
NY,54131,All,Asian,All,19197,35.5,69.3,33.8,32158,24.4,15.9,8.1
NC,10463,All,Asian,All,5185,49.6,74,24.4,2321,11.3,9.3,1.7
OH,8118,All,Asian,All,2905,35.8,75.4,39.6,3389,21.8,11.5,10.5
OK,3648,All,Asian,All,1418,38.9,75.2,36.3,1123,16.8,15.7,1.3
OR,8924,All,Asian,All,4276,47.9,74.1,26.2,2805,17.3,11.7,5.3
PA,18530,All,Asian,All,7961,43,74.3,31.3,6821,17.6,13.9,4.1
RI,2384,All,Asian,All,491,20.6,73.2,52.6,978,27.3,19.2,7.8
SC,4599,All,Asian,All,2444,53.1,74.7,21.6,1247,14.9,17,-2
SD,604,All,Asian,All,574,95,85.3,-9.7,30,3.7,16.8,-12.8
TN,4615,All,Asian,All,1851,40.1,72.8,32.7,1483,20.6,10.8,10.2
TX,40098,All,Asian,All,22072,55,74.8,19.8,13460,14.6,8.6,6.4
UT,3704,All,Asian,All,2054,55.5,81.1,25.6,979,14.7,5.7,9.3
VA,18129,All,Asian,All,9661,53.3,75.4,22.1,4528,11.4,8.3,2.7
WA,24389,All,Asian,All,11610,47.6,76.4,28.8,11623,20.4,8.9,11.1
WV,396,All,Asian,All,324,81.8,74.5,-7.3,130,18,16.5,1.5
WI,6139,All,Asian,All,2223,36.2,79.8,43.6,1372,13.6,13.4,0.6
AL,23341,All,Other,All,8735,37.4,73.6,36.2,10178,25.8,17.6,8.4
AK,14065,All,Other,All,5753,40.9,68.7,27.8,7077,27.2,17.1,9.9
AZ,43064,All,Other,All,16941,39.3,67.6,28.3,22761,29.4,20.4,8.6
AR,24858,All,Other,All,7964,32,76.8,44.8,10392,25.7,15.3,10.7
CA,133546,All,Other,All,53448,40,72.5,32.5,55267,23.4,12.8,10.2
CO,26819,All,Other,All,12581,46.9,77.7,30.8,7081,17.9,11.9,6.1
CT,12268,All,Other,All,5000,40.8,76.9,36.1,3892,21.1,11.7,9.3
DE,5461,All,Other,All,3379,61.9,76.1,14.2,2526,33.6,16.7,17.3
DC,3229,All,Other,All,1035,32.1,78.2,46.1,2012,43.2,16.4,26.6
FL,71018,All,Other,All,28469,40.1,74,33.9,28989,24.5,13.7,11.3
GA,44727,All,Other,All,15362,34.3,74.1,39.8,15020,20.6,16,5
HI,24922,All,Other,All,10694,42.9,72.3,29.4,10743,24.2,14.7,9.3
ID,8904,All,Other,All,5068,56.9,72.6,15.7,3207,17.3,16,1
IL,39713,All,Other,All,17397,43.8,75.7,31.9,17144,26.2,14.1,11.9
IN,29694,All,Other,All,12950,43.6,77.8,34.2,12988,25.7,17,9
IA,14364,All,Other,All,7652,53.3,81,27.7,5570,25.9,16.4,9.6
KS,16462,All,Other,All,7478,45.4,76.8,31.4,7124,27.6,17.1,10.9
KY,29269,All,Other,All,11406,39,73.7,34.7,15005,33,19.1,13.9
LA,24699,All,Other,All,7599,30.8,69.8,39,17402,40.9,23.3,17.7
ME,4980,All,Other,All,1061,21.3,77.1,55.8,3510,34.1,11.5,22.5
MD,21336,All,Other,All,9491,44.5,76.9,32.4,9577,26.5,11.1,15.9
MA,25088,All,Other,All,10984,43.8,76.2,32.4,11685,27.1,12.1,14.9
MI,44750,All,Other,All,17210,38.5,74.4,35.9,19698,25.9,14.8,11.2
MN,23995,All,Other,All,11475,47.8,77.6,29.8,8906,22.1,14.6,7.4
MS,16619,All,Other,All,5171,31.1,70.6,39.5,7505,29.1,24.6,4.4
MO,32482,All,Other,All,11378,35,77.3,42.3,16969,31.5,15.1,15.9
MT,10223,All,Other,All,3933,38.5,71.4,32.9,5637,31.3,22.9,8.1
NE,5213,All,Other,All,1894,36.3,82.5,46.2,3504,30,19.4,10.6
NV,18682,All,Other,All,6967,37.3,71.9,34.6,8965,28.9,13.9,15.1
NH,4556,All,Other,All,1778,39,83.3,44.3,862,12.6,8.8,4.2
NJ,19715,All,Other,All,9649,48.9,73.7,24.8,7039,20,9.3,10.7
NM,20918,All,Other,All,6889,32.9,63.2,30.3,13002,34.9,24.1,10.9
NY,65533,All,Other,All,25472,38.9,73,34.1,31180,27.8,15.8,12.2
NC,51083,All,Other,All,17770,34.8,75,40.2,23766,27,16.9,10.1
ND,8065,All,Other,All,4201,52.1,69.9,17.8,3808,30.8,18.6,12.4
OH,53992,All,Other,All,20388,37.8,76.3,38.5,25605,28.7,18.7,10.3
OK,67090,All,Other,All,24852,37,73.1,36.1,31131,27.8,16.6,11.4
OR,32687,All,Other,All,12964,39.7,75.5,35.8,11510,22.6,14.9,8.1
PA,46763,All,Other,All,19622,42,77.5,35.5,20547,28.6,16.9,12.1
RI,6308,All,Other,All,2606,41.3,82.1,40.8,2842,26.7,15.8,11.2
SC,20783,All,Other,All,9165,44.1,71.4,27.3,9699,29.5,20.3,9.7
SD,8760,All,Other,All,1386,15.8,55.8,40,6446,45.9,41.6,4.4
TN,33737,All,Other,All,12338,36.6,77.1,40.5,13830,24.2,17.9,6.1
TX,88158,All,Other,All,42249,47.9,75.3,27.4,29809,19.8,12.9,7.1
UT,13262,All,Other,All,6971,52.6,77.3,24.7,5047,26.1,11,15
VT,3402,All,Other,All,1751,51.5,75.1,23.6,1313,29.6,19.4,10.6
VA,34992,All,Other,All,15551,44.4,77.8,33.4,11408,19.7,11.1,8.9
WA,52998,All,Other,All,21736,41,73.7,32.7,18369,22.2,10.8,11.2
WV,9911,All,Other,All,2111,21.3,69,47.7,5112,34.4,24.9,9.1
WI,21458,All,Other,All,10971,51.1,77.3,26.2,8972,26.6,14.8,12.2
WY,3034,All,Other,All,1200,39.6,72.3,32.7,1374,28.1,15.1,12.9
AL,13100,All,Hispanic,All,6574,50.2,72.2,22,5185,27.1,25.2,1.8
AK,5061,All,Hispanic,All,3915,77.4,76.3,-1.1,1588,24.4,14,10
AZ,140853,All,Hispanic,All,62962,44.7,75.1,30.4,56586,22.6,17.3,5.7
AR,10284,All,Hispanic,All,5358,52.1,76.4,24.3,4299,25.5,22.5,3.5
CA,812479,All,Hispanic,All,335842,41.3,72.8,31.5,295473,20.5,15.6,4.4
CO,77428,All,Hispanic,All,34958,45.1,76.4,31.3,24626,18.9,15.5,3.5
CT,47537,All,Hispanic,All,21805,45.9,75.7,29.8,24471,31.6,19.3,12.7
DE,5727,All,Hispanic,All,3519,61.4,77.6,16.2,3333,31.9,19.8,12.2
DC,3916,All,Hispanic,All,2200,56.2,82.9,26.7,1425,24.6,12.2,12.8
FL,309296,All,Hispanic,All,126775,41,77.6,36.6,152023,24.6,15.4,9.6
GA,52740,All,Hispanic,All,23496,44.6,75.5,30.9,18264,21.3,20.8,0.2
HI,10543,All,Hispanic,All,3406,32.3,72.8,40.5,4616,27.6,14,14
ID,15795,All,Hispanic,All,9842,62.3,79.6,17.3,4111,17.7,14.4,3.6
IL,99642,All,Hispanic,All,48305,48.5,75.9,27.4,32894,19.4,14.7,4.3
IN,27533,All,Hispanic,All,11334,41.2,75.2,34,12623,26.2,19.4,6.6
IA,14762,All,Hispanic,All,9193,62.3,80.1,17.8,8883,39.6,16.8,23.2
KS,21586,All,Hispanic,All,7725,35.8,79,43.2,10765,32.6,17.3,15.7
KY,8241,All,Hispanic,All,3765,45.7,75.8,30.1,4555,30.2,27,3
LA,13272,All,Hispanic,All,6175,46.5,73,26.5,5300,22.5,22.3,0.7
ME,2840,All,Hispanic,All,1437,50.6,81.8,31.2,517,13.2,10.9,2.1
MD,27442,All,Hispanic,All,14467,52.7,77.2,24.5,9558,20.1,16.8,3.2
MA,61774,All,Hispanic,All,21360,34.6,73.3,38.7,41454,37.7,23.3,14.7
MI,33767,All,Hispanic,All,15113,44.8,73.7,28.9,12072,22.9,19.5,3.5
MN,20481,All,Hispanic,All,11446,55.9,80.2,24.3,7070,20.7,13.3,7.7
MS,5929,All,Hispanic,All,3050,51.4,70.5,19.1,2223,21.4,26.2,-5.2
MO,17294,All,Hispanic,All,8271,47.8,76.6,28.8,7182,26.8,17.8,9.2
MT,3645,All,Hispanic,All,1619,44.4,74.2,29.8,456,7.7,17.8,-9.8
NE,12696,All,Hispanic,All,7411,58.4,84.7,26.3,5790,25.8,16.4,9.6
NV,50541,All,Hispanic,All,23651,46.8,75.1,28.3,17415,20.6,16,5
NH,2479,All,Hispanic,All,778,31.4,75.9,44.5,1311,27.1,13,14
NJ,97690,All,Hispanic,All,44454,45.5,74.3,28.8,47779,26.4,18.6,7.4
NM,88796,All,Hispanic,All,31896,35.9,71.8,35.9,44723,28.4,20.3,7.7
NY,249291,All,Hispanic,All,87746,35.2,69.8,34.6,161442,35.5,20.3,15.7
NC,48207,All,Hispanic,All,21870,45.4,75.4,30,20915,26.7,24.3,2.7
ND,2083,All,Hispanic,All,940,45.1,67.9,22.8,145,5.3,20.1,-15.1
OH,35434,All,Hispanic,All,15180,42.8,76.2,33.4,19493,31.3,21.3,9.7
OK,29543,All,Hispanic,All,14701,49.8,76.7,26.9,10329,22.2,21.3,0.7
OR,38968,All,Hispanic,All,21869,56.1,77.1,21,17179,28.1,16.1,11.9
PA,93467,All,Hispanic,All,32743,35,72.6,37.6,56089,35.4,23.1,11.9
RI,14018,All,Hispanic,All,5805,41.4,70.2,28.8,7314,31.1,23,8
SC,15630,All,Hispanic,All,7433,47.6,73.8,26.2,6323,24.2,22.2,1.8
SD,3674,All,Hispanic,All,2491,67.8,83.4,15.6,1966,38,22,16
TN,19555,All,Hispanic,All,10098,51.6,75.8,24.2,8253,25.2,20.9,4.1
TX,668237,All,Hispanic,All,308589,46.2,73.3,27.1,308977,25.6,19.7,6.3
UT,24745,All,Hispanic,All,16292,65.8,78.8,13,7628,18.8,13,6
VA,43249,All,Hispanic,All,24824,57.4,79.8,22.4,12582,18.1,16,2
WA,60787,All,Hispanic,All,29315,48.2,77.5,29.3,21389,22.6,17.4,5.6
WV,2232,All,Hispanic,All,1573,70.5,79.3,8.8,261,8,25.5,-17.5
WI,24076,All,Hispanic,All,11518,47.8,78.5,30.7,13645,35.2,18.4,16.6
WY,4781,All,Hispanic,All,3051,63.8,79.9,16.1,1602,20.2,14,6
AL,207475,All,All,Male,71482,34.5,79.7,45.2,74989,19.6,14.1,5.9
AK,27063,All,All,Male,12172,45,78.8,33.8,10121,19.8,11.1,8.9
AZ,226211,All,All,Male,102136,45.2,82.1,36.9,84109,17.5,12.2,5.8
AR,130015,All,All,Male,45573,35.1,81.6,46.5,52626,20.6,14.9,6.1
CA,1054386,All,All,Male,425947,40.4,79.5,39.1,372252,17.9,11.4,6.6
CO,170948,All,All,Male,88036,51.5,84.7,33.2,44843,13.8,9.3,4.7
CT,105925,All,All,Male,49976,47.2,81.5,34.3,37202,17.9,9.7,8.3
DE,33280,All,All,Male,15145,45.5,79.9,34.4,8813,13.7,9.9,4.1
DC,20594,All,All,Male,8950,43.5,78.6,35.1,8191,24.3,16.8,7.2
FL,641660,All,All,Male,261449,40.7,81.3,40.6,244230,17.2,12,5
GA,341181,All,All,Male,137308,40.2,81,40.8,118237,18.2,13.3,4.7
HI,40490,All,All,Male,16012,39.5,78.7,39.2,17964,20.2,11,9
ID,64587,All,All,Male,37137,57.5,85.3,27.8,19724,14.5,10.2,4.8
IL,358148,All,All,Male,149530,41.8,81,39.2,138252,19.8,11,9
IN,229052,All,All,Male,97721,42.7,83.7,41,73858,16.7,11.6,5.4
IA,98670,All,All,Male,48113,48.8,86.4,37.6,36343,18.6,10.8,8.2
KS,102050,All,All,Male,46913,46,85.4,39.4,38459,20,10.7,9.3
KY,212713,All,All,Male,74957,35.2,80.4,45.2,89590,23.1,14.6,8.4
LA,186888,All,All,Male,66696,35.7,76.1,40.4,82904,24,17.5,6.5
ME,58675,All,All,Male,21334,36.4,83.1,46.7,26379,24.4,10.3,13.7
MD,157104,All,All,Male,71729,45.7,82.5,36.8,53190,17,9.6,7.4
MA,184272,All,All,Male,77627,42.1,81.8,39.7,70432,19,10.2,8.8
MI,345038,All,All,Male,137433,39.8,79.6,39.8,124422,18.5,12.3,6.7
MN,171564,All,All,Male,87152,50.8,86,35.2,53902,15.8,8.2,7.8
MS,133542,All,All,Male,45198,33.8,76.9,43.1,54431,21.9,17.8,4.2
MO,227162,All,All,Male,97257,42.8,83.4,40.6,84559,19.5,11.6,7.4
MT,40608,All,All,Male,18004,44.3,82.4,38.1,14015,16.4,11.8,4.2
NE,63847,All,All,Male,36442,57.1,88,30.9,18411,15,10.5,4.5
NV,100858,All,All,Male,44994,44.6,78.1,33.5,41667,20.3,13,7
NH,42739,All,All,Male,20853,48.8,85.9,37.1,11153,13.3,6.6,6.4
